region,product_code,is_priority,avg_monthly_spend,satisfaction_score,churn_risk,lifetime_value
West,105,False,143.77,4.7,0,594.0
South,102,False,196.71,1.5,0,2742.0
North,104,False,160.18,3.3,0,1925.0
North,102,False,163.5,2.1,1,1919.0
South,103,False,133.52,3.2,0,981.0
West,101,False,130.5,3.6,0,523.0
West,103,True,132.7,4.3,0,341.0
North,104,False,165.78,1.8,0,2308.0
South,102,False,133.16,1.0,1,1412.0
South,102,False,161.59,1.5,0,1800.0
North,105,True,233.02,4.6,0,1617.0
North,102,False,184.84,4.5,1,718.0
South,105,False,136.96,3.4,1,808.0
West,101,False,198.05,3.4,0,575.0
South,104,False,133.68,3.7,1,697.0
South,105,False,68.48,1.7,0,1687.0
East,101,False,109.68,4.7,0,453.0
South,102,False,75.17,2.7,0,515.0
West,102,True,135.94,2.5,0,937.0
West,101,False,150.74,3.1,0,1116.0
North,102,False,217.06,1.2,1,505.0
South,101,False,163.08,1.7,1,1515.0
South,105,False,141.24,4.0,0,1346.0
North,105,False,183.18,1.3,1,2479.0
North,101,False,61.55,3.4,0,1042.0
East,105,False,159.42,2.0,0,1409.0
South,105,False,180.83,2.6,0,988.0
North,105,True,90.86,2.2,0,710.0
North,103,True,195.75,2.4,1,571.0
West,104,False,163.54,3.9,1,945.0
North,102,False,133.39,2.2,0,951.0
North,103,False,175.31,3.3,0,2306.0
South,105,True,240.83,2.9,0,1003.0
West,101,False,157.27,3.7,0,3540.0
North,105,False,159.93,4.7,1,1683.0
East,104,False,131.63,3.9,0,1295.0
East,105,False,116.01,1.9,0,1056.0
North,101,False,183.21,1.1,0,1265.0
East,104,False,115.76,2.0,0,691.0
South,105,False,152.86,3.4,0,492.0
East,104,False,130.89,1.2,0,659.0
East,102,True,169.16,3.0,0,2720.0
South,102,False,163.35,3.4,0,1621.0
North,105,False,191.5,2.3,1,2941.0
West,104,False,129.6,4.1,0,703.0
South,101,False,139.21,1.4,0,508.0
North,105,False,110.85,1.3,1,1011.0
North,102,False,132.23,3.9,0,796.0
South,102,False,165.09,3.0,1,1372.0
East,105,False,180.28,3.8,0,461.0
North,104,True,113.11,2.7,0,393.0
South,102,False,184.78,2.0,0,1602.0
North,104,True,204.23,4.3,0,2996.0
East,102,False,166.54,4.2,0,1607.0
North,102,False,225.07,3.8,0,1587.0
East,103,True,119.05,2.1,0,1182.0
South,102,False,100.21,3.4,0,1141.0
West,101,False,78.85,2.4,0,425.0
North,105,False,209.84,1.4,1,959.0
South,105,True,176.17,4.7,1,2363.0
North,104,False,147.78,1.5,1,987.0
West,102,False,161.2,4.8,0,2105.0
West,101,False,104.98,2.8,0,1147.0
North,104,False,247.83,1.7,0,1700.0
East,103,False,155.17,3.2,0,1095.0
West,104,False,154.38,4.5,0,1547.0
South,104,False,179.03,3.9,0,1854.0
South,102,False,169.24,4.2,0,636.0
North,103,False,158.96,3.6,0,626.0
North,104,True,118.38,3.8,0,433.0
West,101,True,168.86,4.4,0,1447.0
West,101,False,225.28,2.0,0,1563.0
East,105,False,203.82,3.0,1,4248.0
South,103,False,213.73,1.9,0,1414.0
South,103,True,129.55,5.0,0,1041.0
East,105,True,110.42,4.8,0,1259.0
West,104,True,144.97,1.2,0,1351.0
West,103,False,152.23,3.8,0,968.0
East,101,False,193.77,4.7,0,848.0
